Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides LG1	Peptides LG2	Razor + unique peptides LG1	Razor + unique peptides LG2	Unique peptides LG1	Unique peptides LG2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type LG1	Identification type LG2	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L LG1	Ratio H/L LG2	Ratio H/L normalized LG1	Ratio H/L normalized LG2	Ratio H/L variability [%] LG1	Ratio H/L variability [%] LG2	Ratio H/L count LG1	Ratio H/L count LG2	Ratio H/L iso-count LG1	Ratio H/L iso-count LG2	Ratio H/L type LG1	Ratio H/L type LG2	Sequence coverage LG1 [%]	Sequence coverage LG2 [%]	Intensity	Intensity L	Intensity H	Intensity LG1	Intensity L LG1	Intensity H LG1	Intensity LG2	Intensity L LG2	Intensity H LG2	iBAQ	iBAQ L	iBAQ H	iBAQ LG1	iBAQ L LG1	iBAQ H LG1	iBAQ LG2	iBAQ L LG2	iBAQ H LG2	LFQ intensity L LG1	LFQ intensity H LG1	LFQ intensity L LG2	LFQ intensity H LG2	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.5.2080:mRNA-p1	Tb927.5.2080:mRNA-p1	14	14	14	Tb927.5.2080:mRNA-p1 | transcript=Tb927.5.2080:mRNA | gene=Tb927.5.2080 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=GMP reductase | transcript_product=GMP reductase | location=Tb927_05_v5.1:713439-714914(-) | protein_length=491 | sequence_S	1	14	14	14	13	7	13	7	13	7	31.8	31.8	31.8	52.238	491	491	1	23	0	102.29	By MS/MS	By MS/MS	0.35072	0.70493	7.5543	21	6	Leave out requantified	0.36533	0.22769	0.6931	0.73191	8.5864	8.6009	14	7	2	4	Leave out requantified	Leave out requantified	29.3	18.5	3699800	2732700	967120	2414000	1759700	654360	1285800	973000	312770	119350	88150	31198	77872	56763	21108	41476	31387	10089	3828300	2653400	1229000	2212500				147	67;163;171;215;297;302;375;379;441;489;516;527;636;851	True;True;True;True;True;True;True;True;True;True;True;True;True;True	72;184;192;241;242;330;331;339;422;426;495;496;548;577;578;590;716;947	109;110;285;286;296;373;374;521;522;539;540;663;674;812;813;814;926;969;970;986;987;1188;1564	166;167;168;463;464;482;620;621;876;877;913;914;915;916;917;1125;1138;1329;1330;1331;1518;1576;1577;1614;1615;1929;2579	166;464;482;620;876;917;1125;1138;1331;1518;1576;1615;1929;2579	120;121;122	87;163;401
Tb927.5.2930:mRNA-p1	Tb927.5.2930:mRNA-p1	7	7	7	Tb927.5.2930:mRNA-p1 | transcript=Tb927.5.2930:mRNA | gene=Tb927.5.2930 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Mitochondrial ATP synthase subunit, putative | transcript_product=Mitochondrial ATP synthase subunit, putative | location=Tb	1	7	7	7	3	6	3	6	3	6	20.5	20.5	20.5	43.308	370	370	1	9	0	56.921	By MS/MS	By MS/MS	0.23014	0.69267	18.842	9	5	Leave out requantified	0.28218	0.22584	0.51798	0.6983	7.189	4.9085	3	6	2	3	Median	Leave out requantified	8.6	17.8	1527500	1025200	502320	169820	138020	31800	1357700	887170	470520	69432	46599	22833	7719.2	6273.7	1445.5	61713	40326	21387	300610	155710	1699000	1186400				148	135;166;179;450;591;616;926	True;True;True;True;True;True;True	148;187;200;505;669;696;1027	236;289;305;828;1115;1116;1158;1689;1690	386;387;388;468;492;493;1358;1359;1360;1361;1821;1822;1823;1887;2757;2758;2759	386;468;493;1360;1823;1887;2758		
Tb927.5.3280:mRNA-p1	Tb927.5.3280:mRNA-p1	1	1	1	Tb927.5.3280:mRNA-p1 | transcript=Tb927.5.3280:mRNA | gene=Tb927.5.3280 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Basal body protein | transcript_product=Basal body protein | location=Tb927_05_v5.1:1083945-1087511(-) | protein_length=1188	1	1	1	1	1	1	1	1	1	1	0.7	0.7	0.7	133.83	1188	1188	1	2	0	6.6037	By MS/MS	By MS/MS	0.45627	1.189	19.842	2	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	1	0	0	Median	Median	0.7	0.7	1078700	808530	270170	209010	126350	82661	869690	682180	187510	14193	10639	3554.9	2750.2	1662.5	1087.6	11443	8976	2467.2	0	0	653690	1054000				149	411	True	462	727;728	1224;1225	1225		
Tb927.5.3800:mRNA-p1	Tb927.5.3800:mRNA-p1	2	2	2	Tb927.5.3800:mRNA-p1 | transcript=Tb927.5.3800:mRNA | gene=Tb927.5.3800 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glutamine hydrolysing (not ammonia-dependent) carbomoyl phosphate synthase, putative | transcript_product=glutamine hydrolys	1	2	2	2	2	0	2	0	2	0	1.3	1.3	1.3	204.09	1833	1833	1	2	0	11.864	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	1.3	0	124530	119490	5036.6	124530	119490	5036.6	0	0	0	1399.2	1342.6	56.591	1399.2	1342.6	56.591	0	0	0	184080	45513	0	0				150	559;727	True;True	632;814	1044;1332	1700;2173	1700;2173		
Tb927.5.3810:mRNA-p1	Tb927.5.3810:mRNA-p1	9	9	9	Tb927.5.3810:mRNA-p1 | transcript=Tb927.5.3810:mRNA | gene=Tb927.5.3810 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=orotidine-5-phosphate decarboxylase/orotate phosphoribosyltransferase, putative | transcript_product=orotidine-5-phosphate d	1	9	9	9	6	5	6	5	6	5	23.4	23.4	23.4	49.955	458	458	1	11	0	71.125	By MS/MS	By MS/MS	0.31674	0.65901	4.8941	10	4	Leave out requantified	0.33387	0.21567	0.6364	0.65901	7.5517	26.375	5	5	1	3	Leave out requantified	Median	17.5	12.4	2369400	1864400	504940	1109400	866660	242730	1260000	997750	262210	107700	84746	22952	50427	39394	11033	57271	45352	11919	2186900	1391800	980970	1344200				151	4;23;289;448;599;740;783;802;901	True;True;True;True;True;True;True;True;True	4;25;320;503;677;828;875;895;1002	5;35;506;826;1128;1129;1353;1445;1471;1654;1655	5;53;840;1356;1838;1839;1840;1841;1842;2212;2213;2391;2427;2705;2706;2707	5;53;840;1356;1841;2212;2391;2427;2705		
Tb927.5.4120:mRNA-p1	Tb927.5.4120:mRNA-p1	3	3	3	Tb927.5.4120:mRNA-p1 | transcript=Tb927.5.4120:mRNA | gene=Tb927.5.4120 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=LSU ribosomal protein, mitochondrial, putative | transcript_product=LSU ribosomal protein, mitochondrial, putative | locatio	1	3	3	3	3	0	3	0	3	0	18.3	18.3	18.3	22.32	191	191	1	3	0	16.297	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	18.3	0	103040	99579	3462.5	103040	99579	3462.5	0	0	0	9367.4	9052.7	314.77	9367.4	9052.7	314.77	0	0	0	157750	31288	0	0				152	27;301;680	True;True;True	29;338;761	41;538;1259	62;912;2032	62;912;2032		
Tb927.5.4260:mRNA-p1;Tb927.5.4250:mRNA-p1;Tb927.5.4240:mRNA-p1;Tb927.5.4230:mRNA-p1;Tb927.5.4220:mRNA-p1;Tb927.5.4210:mRNA-p1;Tb927.5.4200:mRNA-p1;Tb927.5.4190:mRNA-p1;Tb927.5.4180:mRNA-p1;Tb927.5.4170:mRNA-p1;Tb927.2.2670:mRNA-p1	Tb927.5.4260:mRNA-p1;Tb927.5.4250:mRNA-p1;Tb927.5.4240:mRNA-p1;Tb927.5.4230:mRNA-p1;Tb927.5.4220:mRNA-p1;Tb927.5.4210:mRNA-p1;Tb927.5.4200:mRNA-p1;Tb927.5.4190:mRNA-p1;Tb927.5.4180:mRNA-p1;Tb927.5.4170:mRNA-p1	4;4;4;4;4;4;4;4;4;4;1	4;4;4;4;4;4;4;4;4;4;1	4;4;4;4;4;4;4;4;4;4;1	Tb927.5.4260:mRNA-p1 | transcript=Tb927.5.4260:mRNA | gene=Tb927.5.4260 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=histone H4, putative | transcript_product=histone H4, putative | location=Tb927_05_v5.1:1334708-1335010(-) | protein_length=	11	4	4	4	3	4	3	4	3	4	40	40	40	11.142	100	100;100;100;100;100;100;100;100;100;100;100	1	8	0	30.702	By MS/MS	By MS/MS	0.26069	0.85637	14.752	8	1	Leave out requantified	0.24556	0.27638	0.46877	0.97594	20.193	16.202	3	5	1	0	Median	Leave out requantified	32	40	5201100	4084700	1116400	859040	652220	206810	4342000	3432400	909610	1300300	1021200	279110	214760	163060	51703	1085500	858110	227400	2376800	1114200	3106900	4750700				153	127;406;666;816	True;True;True;True	137;457;747;910	219;220;719;720;1239;1493;1494;1495	364;365;366;367;1211;1212;1213;1214;1215;1996;1997;2468;2469;2470	366;1213;1997;2468		
Tb927.5.930:mRNA-p1;Tb11.v5.0613.1-p1;Tb927.5.940:mRNA-p1;Tb927.10.3650:mRNA-p1	Tb927.5.930:mRNA-p1;Tb11.v5.0613.1-p1;Tb927.5.940:mRNA-p1	6;3;3;1	6;3;3;1	6;3;3;1	Tb927.5.930:mRNA-p1 | transcript=Tb927.5.930:mRNA | gene=Tb927.5.930 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=NADH-dependent fumarate reductase | transcript_product=NADH-dependent fumarate reductase | location=Tb927_05_v5.1:366462-369890	4	6	6	6	3	5	3	5	3	5	6.9	6.9	6.9	123.69	1142	1142;624;811;1232	1	8	0	41.537	By MS/MS	By MS/MS	0.15439	0.35847	25.539	8	4	Leave out requantified	0.16588	0.16206	0.31475	0.49637	16.381	12.667	3	5	1	3	Median	Median	3.9	5.8	1258900	1018300	240610	457310	364370	92938	801600	653930	147670	20305	16424	3880.8	7376	5877	1499	12929	10547	2381.8	637940	200790	959020	476030				154	137;242;675;808;894;913	True;True;True;True;True;True	151;270;756;901;994;1014	240;422;1253;1479;1636;1637;1671;1672	392;693;694;2025;2439;2681;2682;2733;2734	392;694;2025;2439;2682;2734	123	519
Tb927.6.2790:mRNA-p1;REV__Tb927.6.2790:mRNA-p1	Tb927.6.2790:mRNA-p1	6;1	6;1	6;1	Tb927.6.2790:mRNA-p1 | transcript=Tb927.6.2790:mRNA | gene=Tb927.6.2790 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=L-threonine 3-dehydrogenase | transcript_product=L-threonine 3-dehydrogenase | location=Tb927_06_v5.1:836359-837357(+) | pro	2	6	6	6	6	0	6	0	6	0	23.5	23.5	23.5	36.957	332	332;332	1	7	0	40.707	By MS/MS		0.064971	0.12574	44.125	6	6	Median	0.064971	NaN	0.12574	NaN	44.125	NaN	6	0	6	0	Median	Median	23.5	0	1253600	1168400	85188	1253600	1168400	85188	0	0	0	62679	58420	4259.4	62679	58420	4259.4	0	0	0	3104400	390330	0	0				155	131;268;354;368;449;924	True;True;True;True;True;True	141;142;297;400;415;504;1025	224;225;465;631;654;827;1687	373;374;780;1057;1095;1357;2754;2755	373;780;1057;1095;1357;2754	124;125	104;149
Tb927.6.3800:mRNA-p1;Tb927.6.3750:mRNA-p1;Tb927.6.3740:mRNA-p1	Tb927.6.3800:mRNA-p1;Tb927.6.3750:mRNA-p1;Tb927.6.3740:mRNA-p1	20;20;20	20;20;20	20;20;20	Tb927.6.3800:mRNA-p1 | transcript=Tb927.6.3800:mRNA | gene=Tb927.6.3800 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=heat shock 70 kDa protein, mitochondrial precursor, putative | transcript_product=heat shock 70 kDa protein, mitochondrial p	3	20	20	20	20	1	20	1	20	1	35.9	35.9	35.9	71.474	657	657;657;657	1	29	0	168.25	By MS/MS	By MS/MS	0.032746	0.060881	39.854	27	19	Leave out requantified	0.032746	NaN	0.060881	NaN	39.854	NaN	26	1	18	1	Leave out requantified	Median	35.9	2.1	8086900	7715000	371860	7994900	7637100	357800	91992	77934	14058	237850	226910	10937	235140	224620	10524	2705.6	2292.2	413.46	24972000	1520300	0	0				156	123;183;216;327;432;433;435;543;588;614;635;700;709;795;797;868;876;890;903;961	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	131;204;243;371;484;485;487;612;613;666;694;715;785;795;887;889;966;974;989;1004;1066	211;309;375;589;590;789;790;794;1019;1020;1021;1112;1155;1156;1187;1290;1302;1303;1462;1463;1465;1591;1607;1629;1630;1657;1658;1745;1746	355;356;497;622;1008;1009;1297;1298;1302;1655;1656;1657;1818;1883;1884;1885;1928;2081;2102;2103;2415;2416;2418;2621;2642;2669;2670;2709;2710;2843;2844	355;497;622;1009;1297;1298;1302;1657;1818;1883;1928;2081;2102;2415;2418;2621;2642;2669;2709;2843	126;127	148;595
Tb927.6.4300:mRNA-p1;Tb927.6.4280:mRNA-p1;Tb927.10.6880:mRNA-p1;Tb11.v5.0516.1-p1	Tb927.6.4300:mRNA-p1;Tb927.6.4280:mRNA-p1	14;14;2;2	14;14;2;2	14;14;2;2	Tb927.6.4300:mRNA-p1 | transcript=Tb927.6.4300:mRNA | gene=Tb927.6.4300 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glyceraldehyde 3-phosphate dehydrogenase, glycosomal | transcript_product=glyceraldehyde 3-phosphate dehydrogenase, glycosom	4	14	14	14	12	11	12	11	12	11	43.5	43.5	43.5	39.047	359	359;359;331;331	1	65	0	124.54	By MS/MS	By MS/MS	0.36796	0.91573	8.2039	56	9	Leave out requantified	0.46603	0.27913	0.9005	0.96346	6.444	9.4032	28	28	0	9	Leave out requantified	Leave out requantified	39.3	30.9	51458000	37802000	13656000	21830000	14907000	6922700	29628000	22895000	6733100	2237300	1643600	593730	949130	648140	300990	1288200	995420	292740	30054000	27063000	18936000	33622000				157	79;90;132;178;415;437;524;570;651;717;747;852;882;933	True;True;True;True;True;True;True;True;True;True;True;True;True;True	84;95;96;143;199;467;490;586;587;644;732;803;836;837;948;980;1034;1035	134;135;159;160;161;162;226;227;228;229;230;304;735;736;737;738;739;740;741;742;743;744;745;746;797;798;799;800;801;980;981;982;983;1059;1220;1316;1366;1367;1368;1369;1370;1371;1372;1373;1374;1375;1376;1377;1378;1379;1380;1381;1382;1383;1384;1385;1386;1565;1566;1614;1615;1699;1700;1701;1702	209;210;211;212;213;214;215;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;375;376;377;378;379;380;490;491;1237;1238;1239;1240;1241;1242;1243;1244;1245;1246;1247;1248;1249;1250;1251;1306;1307;1308;1596;1597;1598;1599;1600;1601;1602;1603;1604;1605;1606;1607;1608;1609;1721;1973;2129;2130;2131;2132;2133;2134;2239;2240;2241;2242;2243;2244;2245;2246;2247;2248;2249;2250;2251;2252;2253;2254;2255;2256;2257;2258;2259;2260;2261;2262;2263;2264;2265;2266;2267;2268;2269;2270;2271;2272;2273;2274;2275;2276;2277;2278;2279;2280;2281;2282;2283;2284;2285;2286;2287;2288;2289;2580;2581;2582;2583;2584;2585;2586;2587;2651;2652;2769;2770;2771;2772;2773;2774;2775;2776;2777;2778;2779;2780;2781	211;264;375;491;1247;1306;1602;1721;1973;2132;2267;2586;2651;2771	128;129;130;131	50;146;234;246
Tb927.6.5070:mRNA-p1	Tb927.6.5070:mRNA-p1	2	2	2	Tb927.6.5070:mRNA-p1 | transcript=Tb927.6.5070:mRNA | gene=Tb927.6.5070 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_06_v5.1:1383939-138530	1	2	2	2	2	0	2	0	2	0	4.4	4.4	4.4	51.821	454	454	1	2	0	11.154	By MS/MS		0.21039	0.3841	27.958	2	2	Median	0.21039	NaN	0.3841	NaN	27.958	NaN	2	0	2	0	Median	Median	4.4	0	107700	94972	12730	107700	94972	12730	0	0	0	4682.7	4129.2	553.49	4682.7	4129.2	553.49	0	0	0	213190	81888	0	0				158	150;486	True;True	168;545	262;922	420;1513	420;1513		
Tb927.7.1050:mRNA-p1;Tb927.7.1040:mRNA-p1	Tb927.7.1050:mRNA-p1;Tb927.7.1040:mRNA-p1	3;3	3;3	3;3	Tb927.7.1050:mRNA-p1 | transcript=Tb927.7.1050:mRNA | gene=Tb927.7.1050 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S16, putative | transcript_product=40S ribosomal protein S16, putative | location=Tb927_07_v5.1:268952	2	3	3	3	3	1	3	1	3	1	24.8	24.8	24.8	16.998	149	149;149	1	4	0	20.022	By MS/MS	By MS/MS	0.16154	0.30556	51.203	4	2	Median	0.15883	NaN	0.30386	NaN	6.9223	NaN	3	1	1	1	Median	Median	24.8	8.1	722270	602030	120240	610470	513940	96527	111800	88087	23713	90284	75254	15030	76309	64243	12066	13975	11011	2964.1	1507600	458090	0	0				159	310;393;734	True;True;True	351;443;822	559;560;697;1345	957;958;1164;2195	957;1164;2195		
Tb927.7.1750:mRNA-p1;Tb927.7.1740:mRNA-p1;Tb927.7.1730:mRNA-p1	Tb927.7.1750:mRNA-p1;Tb927.7.1740:mRNA-p1;Tb927.7.1730:mRNA-p1	1;1;1	1;1;1	1;1;1	Tb927.7.1750:mRNA-p1 | transcript=Tb927.7.1750:mRNA | gene=Tb927.7.1750 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L7, putative | transcript_product=60S ribosomal protein L7, putative | location=Tb927_07_v5.1:431071-4	3	1	1	1	1	0	1	0	1	0	4.5	4.5	4.5	27.713	242	242;242;242	1	1	0	6.5231	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	4.5	0	57707	51085	6621.8	57707	51085	6621.8	0	0	0	4808.9	4257.1	551.81	4808.9	4257.1	551.81	0	0	0	83896	63789	0	0				160	339	True	383	605	1028	1028		
Tb927.7.1790:mRNA-p1	Tb927.7.1790:mRNA-p1	1	1	1	Tb927.7.1790:mRNA-p1 | transcript=Tb927.7.1790:mRNA | gene=Tb927.7.1790 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Adenine phosphoribosyltransferase, putative | transcript_product=Adenine phosphoribosyltransferase, putative | location=Tb92	1	1	1	1	0	1	0	1	0	1	5.7	5.7	5.7	25.624	230	230	1	1	0	6.648		By MS/MS	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	1	Median	Median	0	5.7	2638900	106340	2532600	0	0	0	2638900	106340	2532600	219910	8861.4	211050	0	0	0	219910	8861.4	211050	0	0	101900	14235000				161	244	True	272	427	701	701		
Tb927.7.210:mRNA-p1	Tb927.7.210:mRNA-p1	4	4	4	Tb927.7.210:mRNA-p1 | transcript=Tb927.7.210:mRNA | gene=Tb927.7.210 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Proline dehydrogenase, mitochondrial | transcript_product=Proline dehydrogenase, mitochondrial | location=Tb927_07_v5.1:39714-4	1	4	4	4	4	0	4	0	4	0	9.9	9.9	9.9	63.858	556	556	1	5	0	26.329	By MS/MS		0.15585	0.29003	23.213	4	4	Median	0.15585	NaN	0.29003	NaN	23.213	NaN	4	0	4	0	Median	Median	9.9	0	410520	367000	43525	410520	367000	43525	0	0	0	15789	14115	1674	15789	14115	1674	0	0	0	885610	256860	0	0				162	221;703;818;893	True;True;True;True	248;788;912;993	383;1294;1498;1499;1635	635;2086;2474;2475;2680	635;2086;2474;2680		
Tb927.7.2940:mRNA-p1;Tb927.7.2930:mRNA-p1;Tb927.7.2920:mRNA-p1;Tb927.7.2910:mRNA-p1;Tb927.7.2900:mRNA-p1;Tb927.7.2890:mRNA-p1;Tb927.7.2880:mRNA-p1;Tb927.7.2870:mRNA-p1;Tb927.7.2860:mRNA-p1;Tb927.7.2850:mRNA-p1;Tb927.7.2840:mRNA-p1;Tb927.7.2830:mRNA-p1;Tb927.7.2820:mRNA-p1	Tb927.7.2940:mRNA-p1;Tb927.7.2930:mRNA-p1;Tb927.7.2920:mRNA-p1;Tb927.7.2910:mRNA-p1;Tb927.7.2900:mRNA-p1;Tb927.7.2890:mRNA-p1;Tb927.7.2880:mRNA-p1;Tb927.7.2870:mRNA-p1;Tb927.7.2860:mRNA-p1;Tb927.7.2850:mRNA-p1;Tb927.7.2840:mRNA-p1;Tb927.7.2830:mRNA-p1;Tb927.7.2820:mRNA-p1	3;3;3;3;3;3;3;3;3;3;3;3;3	3;3;3;3;3;3;3;3;3;3;3;3;3	3;3;3;3;3;3;3;3;3;3;3;3;3	Tb927.7.2940:mRNA-p1 | transcript=Tb927.7.2940:mRNA | gene=Tb927.7.2940 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=histone H2A, putative | transcript_product=histone H2A, putative | location=Tb927_07_v5.1:739893-740297(+) | protein_length=	13	3	3	3	2	3	2	3	2	3	19.4	19.4	19.4	14.212	134	134;134;134;134;134;134;134;134;134;134;134;134;134	1	6	0	18.429	By MS/MS	By MS/MS	0.31577	0.80666	40.724	5	1	Leave out requantified	0.27297	0.38454	0.53376	1.3191	11.157	5.4062	2	3	0	1	Median	Median	12.7	19.4	2175900	1590600	585360	375480	277350	98130	1800500	1313200	487230	362660	265100	97560	62579	46224	16355	300080	218870	81205	1334600	712360	1114500	2485300				163	35;337;817	True;True;True	37;381;911	54;601;602;603;1496;1497	83;1024;1025;1026;2471;2472;2473	83;1024;2472		
Tb927.7.3260:mRNA-p1;Tb927.7.3250:mRNA-p1	Tb927.7.3260:mRNA-p1;Tb927.7.3250:mRNA-p1	1;1	1;1	1;1	Tb927.7.3260:mRNA-p1 | transcript=Tb927.7.3260:mRNA | gene=Tb927.7.3260 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=expression site-associated gene 7 (ESAG7) protein, putative | transcript_product=expression site-associated gene 7 (ESAG7) p	2	1	1	1	0	1	0	1	0	1	3.2	3.2	3.2	37.418	339	339;397	1	1	1	-2		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	3.2	295350	207130	88221	0	0	0	295350	207130	88221	14065	9863.5	4201	0	0	0	14065	9863.5	4201	0	0	198480	495880	+			164	222	True	249	384	636	636	132	298
Tb927.7.3550:mRNA-p1	Tb927.7.3550:mRNA-p1	1	1	1	Tb927.7.3550:mRNA-p1 | transcript=Tb927.7.3550:mRNA | gene=Tb927.7.3550 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=cytoskeleton associated protein, putative | transcript_product=cytoskeleton associated protein, putative | location=Tb927_07	1	1	1	1	1	0	1	0	1	0	1	1	1	138.16	1241	1241	1	1	0	6.059	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	1	0	55037	47460	7576.9	55037	47460	7576.9	0	0	0	1058.4	912.69	145.71	1058.4	912.69	145.71	0	0	0	73112	68468	0	0				165	223	True	250	385	637	637		
Tb927.7.3920:mRNA-p1	Tb927.7.3920:mRNA-p1	1	1	1	Tb927.7.3920:mRNA-p1 | transcript=Tb927.7.3920:mRNA | gene=Tb927.7.3920 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_07_v5.1:1024201-102516	1	1	1	1	0	1	0	1	0	1	8.8	8.8	8.8	36.085	320	320	1	1	0	6.5541		By MS/MS	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	1	Median	Median	0	8.8	227240	160100	67139	0	0	0	227240	160100	67139	14203	10007	4196.2	0	0	0	14203	10007	4196.2	0	0	153420	377380				166	287	True	318	504	837	837		
Tb927.7.5180:mRNA-p1;Tb927.7.5170:mRNA-p1	Tb927.7.5180:mRNA-p1;Tb927.7.5170:mRNA-p1	2;2	2;2	2;2	Tb927.7.5180:mRNA-p1 | transcript=Tb927.7.5180:mRNA | gene=Tb927.7.5180 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L23a, putative | transcript_product=60S ribosomal protein L23a, putative | location=Tb927_07_v5.1:1364	2	2	2	2	2	1	2	1	2	1	12.2	12.2	12.2	18.17	164	164;164	1	3	0	14.318	By MS/MS	By MS/MS	0.13113	0.26088	66.285	3	2	Median	0.12522	NaN	0.24769	NaN	7.3419	NaN	2	1	2	0	Median	Median	12.2	7.9	634020	524710	109320	447950	378900	69058	186070	145810	40261	105670	87451	18220	74659	63149	11510	31012	24301	6710.2	1212700	300360	0	0				167	511;951	True;True	572;1054	962;963;1728	1567;1568;1569;2819	1567;2819		
Tb927.7.5680:mRNA-p1	Tb927.7.5680:mRNA-p1	2	2	2	Tb927.7.5680:mRNA-p1 | transcript=Tb927.7.5680:mRNA | gene=Tb927.7.5680 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=deoxyribose-phosphate aldolase, putative | transcript_product=deoxyribose-phosphate aldolase, putative | location=Tb927_07_v	1	2	2	2	1	2	1	2	1	2	8.9	8.9	8.9	30.037	280	280	1	3	0	15.482	By MS/MS	By MS/MS	0.38301	1.1676	10.154	2	0	Median	NaN	0.38301	NaN	1.1676	NaN	10.154	0	2	0	0	Median	Median	2.9	8.9	359750	256410	103340	0	0	0	359750	256410	103340	22484	16026	6458.5	0	0	0	22484	16026	6458.5	0	0	349610	408210				168	492;821	True;True	551;915	929;930;1505	1522;1523;2483;2484	1522;2484		
Tb927.7.7010:mRNA-p1	Tb927.7.7010:mRNA-p1	2	2	2	Tb927.7.7010:mRNA-p1 | transcript=Tb927.7.7010:mRNA | gene=Tb927.7.7010 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=LSU ribosomal protein, mitochondrial, putative | transcript_product=LSU ribosomal protein, mitochondrial, putative | locatio	1	2	2	2	2	0	2	0	2	0	18.2	18.2	18.2	18.121	154	154	1	2	0	13.627	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	18.2	0	124030	117020	7015.4	124030	117020	7015.4	0	0	0	13782	13002	779.49	13782	13002	779.49	0	0	0	180270	63394	0	0				169	128;234	True;True	138;262	221;404	368;659	368;659		
